,0
2838,1
2839,1
2840,1
2841,1
2842,2
2843,11
2844,1
2845,1
2846,10
2847,9
2848,1
2849,1
2850,9
2851,1
2852,1
2853,0
2854,1
2855,10
2856,1
2857,1
2858,11
2859,1
2860,5
2861,5
2862,5
2863,2
2864,5
2865,1
2866,1
2867,1
2868,1
2869,0
2870,1
2871,1
2872,1
2873,1
2874,5
2875,1
2876,4
2877,2
2878,9
2879,1
2880,9
2881,11
2882,2
2883,4
2884,5
2885,1
2886,5
2887,10
2888,1
2889,3
2890,0
2891,11
2892,2
2893,1
2894,8
2895,11
2896,1
2897,1
2898,5
2899,5
2900,1
2901,9
2902,9
2903,0
2904,9
2905,1
2906,1
2907,1
2908,3
2909,4
2910,5
2911,4
2912,1
2913,9
2914,2
2915,5
2916,1
2917,1
2918,9
2919,1
2920,1
2921,5
2922,9
2923,2
2924,5
2925,1
2926,5
2927,5
2928,5
2929,1
2930,1
2931,1
2932,2
2933,2
2934,1
2935,1
2936,2
2937,1
2938,2
2939,1
2940,1
2941,9
2942,11
2943,1
2944,1
2945,9
2946,1
2947,1
2948,5
2949,0
2950,10
2951,2
2952,9
2953,2
2954,9
2955,1
2956,1
2957,4
2958,1
2959,5
2960,1
2961,1
2962,1
2963,10
2964,5
2965,1
2966,9
2967,1
2968,1
2969,5
2970,1
2971,1
2972,9
2973,1
2974,5
2975,1
2976,1
2977,1
2978,1
2979,2
2980,1
2981,5
2982,1
2983,1
2984,1
2985,9
2986,1
2987,9
2988,5
2989,11
2990,1
2991,1
2992,1
2993,1
2994,1
2995,9
