,0
1512,si:ch211-243o19.4
1513,pfn2l
1514,cfap43
1515,pkig
1516,si:zfos-223e1.2
1517,tescb
1518,banf1
1519,sostdc1a
1520,klhl24a
1521,ndufs2
1522,dldh
1523,agbl2
1524,selenoh
1525,rpa3
1526,prkab1b
1527,flot2b
1528,wdr92
1529,terb2
1530,ccdc15
1531,prelid3b
1532,smc1b
1533,fhl1a
1534,si:dkey-261j15.2
1535,apodb
1536,fabp11a
1537,ube2g1a
1538,med8
1539,srl
1540,klhl10b.1
1541,mepce
1542,slc2a10
1543,rtf2
1544,strada
1545,otub1b
1546,mdh1aa
1547,ranbp1
1548,mbd2
1549,tatdn3
1550,BX005048.1
1551,bphl
1552,si:ch211-281k19.2
1553,osbp
1554,ints12
1555,smndc1
1556,pacsin3
1557,eps15l1a
1558,zp3d.2
1559,mob1bb
1560,cct2
1561,selenoj
1562,mrpl30
1563,nedd8
1564,ddt
1565,zgc:55943
1566,zgc:77849
1567,cacybp
1568,mettl27
1569,psme1
1570,atp6ap2
1571,apoc1
1572,arl3a
1573,sec63
1574,naa30
1575,chmp2a
1576,CABZ01041962.1
1577,sec22ba
1578,zgc:194621
1579,ikbip
1580,hprt1
1581,vta1
1582,lim2.2
1583,selenof
1584,pfdn6
1585,si:dkey-170l10.1
1586,csnk1a1
1587,si:dkey-33c12.4
1588,s100a11
1589,b4galt6
1590,haus4
1591,cox5aa
1592,atp5fa1
1593,srpra
1594,dcaf7
1595,ccng2
1596,nuf2
1597,mbd3b
1598,ppp2r2cb
1599,csk
1600,aldocb
1601,lig1
1602,mei4
1603,psmc2
1604,hint2
1605,arpp19b
1606,uqcrh
1607,zmynd10
1608,pdap1b
1609,CU638693.1
1610,cct6a
1611,exosc5
1612,smim19
1613,nsl1
1614,hey1
1615,armc10
1616,emc4
1617,mpc1
1618,mtpn
1619,ccdc135
1620,rhoac
1621,sdf2
1622,pin1
1623,FQ378040.1
1624,zgc:101851
1625,CR933730.1
1626,bckdk
1627,si:ch211-173m16.2
1628,si:dkey-180p18.9
1629,tfpt
1630,abhd4
1631,si:dkey-11f4.16
1632,lrriq1
1633,si:dkey-78l4.13
1634,si:ch211-40k21.5
1635,si:ch211-199g17.2
1636,higd1a
1637,smc3
1638,ttk
1639,pdcd10b
1640,ttll2
1641,vkorc1l1
1642,g3bp2
1643,psmf1
1644,mdm1
1645,si:dkey-154b15.1
1646,hdac8
1647,serbp1a
1648,dazap2
1649,zgc:110319
1650,rnf26
1651,pclaf
1652,si:ch73-174h16.5
1653,ik
1654,cdk5rap3
1655,cdca8
